"","Exposure","mF","Isq Unweighted","Main.MR.results.Exposure","Main.MR.results.MR.Analysis","Main.MR.results.Causal.Estimate","Main.MR.results.Sd","Main.MR.results.T.stat","Main.MR.results.P.value","MR.PRESSO.results.Global.Test.RSSobs","MR.PRESSO.results.Global.Test.Pvalue"
"1","1001","38.3601598173516","0.372666104746376","beta.exposure","Raw",-0.529487965587457,0.139348812380977,-3.79973073713645,0.00032883174153092,80.1136745775155,0.1108
"2","1001","38.3601598173516","0.372666104746376","beta.exposure","Outlier-corrected",NA,NA,NA,NA,80.1136745775155,0.1108
